Date,MSFT,AMZN,JNJ,JPM,XOM,BAC,WMT,WFC,V,PG,BUD,T,CVX,UNH,PFE,RHHBY,CHL,HD,TSM,VZ,ORCL,C,NVDA,NVS,AAPL,INTC,NFLX,SONC,MO,GOOGL
11/12/10,-0.015367161,-0.027528333,-0.003911137,-0.010244485,-0.011694611,-0.020210187,-0.003864541,-0.023057619,-0.028780254,-0.000466007,-0.006432024,-0.012834066,-0.007550212,-0.021350562,-0.007656118,-0.01068482,-0.012706921,-0.008202297,-0.000904303,-0.002145293,-0.008750628,-0.016055022,0.051546082,-0.014174271,-0.027222322,0.015087209,-0.012218825,-0.031317359,-0.01506113,-0.022521373
11/15/10,-0.002665033,-0.040922255,0.007381844,0.011865385,-0.007183634,-0.001649951,-0.003325367,0.003994034,-0.007538463,-0.000622222,-0.001362797,0.005973132,-0.006788557,-0.032724329,-0.005934478,0.003323222,0.000389977,-0.001590146,0.000905121,0.006449582,0.002824996,0.006993077,-0.012066252,0.012760613,-0.003214262,-0.010682923,-0.027167648,-0.006688862,-0.006438973,-0.012962343
11/16/10,-0.008832154,-0.007048427,-0.015591087,-0.011726249,-0.021850327,-0.013223299,0.005745979,-0.016636433,-0.017941631,-0.013065469,-0.020129754,-0.013621819,-0.019728644,-0.012968605,-0.008955338,-0.014353013,-0.017933693,0.010194317,-0.018083466,-0.017699005,-0.02887335,-0.023148021,-0.029770819,-0.010825257,-0.01775012,-0.01079828,-0.017231106,-0.008978702,-0.012555853,-0.01973224
11/17/10,-0.009299124,0.00361267,-0.001266946,-0.010855673,0.001015296,-0.026800633,-0.009030552,-0.012136614,0.018013757,-0.002836837,0.023328666,-0.009915206,-0.000242849,0.009140349,-0.007228977,0.021002623,-0.003374218,-0.027751436,0.002762511,0.00465999,0.011965451,-0.0071092,0.016522088,-0.00089713,-0.003613934,0.000474807,0.007738809,-0.009060172,0.003281435,-0.000291228
11/18/10,0.010559506,0.036753974,0.012210741,0.012250938,0.018837775,0.006884904,0.003905417,0.024199239,0.015977435,0.011853685,0.033514799,0.017167584,0.016492978,0.008491503,0.021237815,0.005211258,0.003584772,0.001297529,0.013774025,0.009585525,0.01433148,0.026252962,0.030959924,0.019752415,0.026389301,-0.002846328,0.009899196,0.001142985,0.011856317,0.022294553
11/19/10,-0.005804814,0.003959365,0,-0.006303841,0.00327124,-0.003419098,0.007595327,-0.000727177,0.001429519,0.000468866,0.001810838,-0.004219337,0.001431669,0.010383948,-0.001782507,0.00354703,0.00059531,0.01133764,0.003623293,-0.001837467,-0.005651792,-0.006976545,0.032282144,-0.002641368,-0.005512042,0.005708844,0.027980747,0.014840227,-0.000403805,-0.009605039
11/22/10,0.001556887,0.033794392,-0.003290328,-0.022836622,-0.004961899,-0.030874675,-0.000183885,-0.019643457,-0.020635781,-0.007650335,0.000657215,-0.001059385,-0.005837471,0.012778092,-0.010118988,-0.014410026,0.003768492,-0.00416403,0.004512648,-0.002761943,-0.003552138,-0.02107717,0.000727359,-0.00088278,0.021615501,0.005203448,0.088303321,0.002249725,-0.010509399,0.000660071
11/23/10,-0.023707663,-0.012852879,-0.011788341,-0.022850996,-0.017238685,-0.018584145,-0.013055973,-0.005565726,-0.010734275,-0.014946531,-0.0275863,-0.009190712,-0.02037156,-0.011244902,-0.003607968,-0.031448263,-0.013238539,-0.005789644,-0.035040508,-0.003384551,-0.030659519,-0.019139035,-0.023255673,-0.027566679,-0.014775797,-0.007529284,-0.003239173,-0.00561181,0.002450977,-0.013886613
11/24/10,0.009952071,0.053805013,0.006680283,0.01408389,0.013047225,0.017132474,0.006334759,0.011567297,0.015673019,-0.000159808,-0.008780761,0.003924673,0.014434379,0.003606075,0.007241984,0.003702696,0.011413676,0.008088187,0.024208419,-0.00123517,0.020227903,0.017073351,0.024553593,0.000908534,0.019661355,0.014224524,0.005646987,0.016930319,0.001222611,0.020514253
11/26/10,-0.004730202,-0.000282104,-0.007171118,-0.017295331,-0.00930155,-0.014184092,-0.004998929,-0.016967992,-0.004484014,-0.007507811,-0.019250503,-0.007462857,-0.010611434,-0.008292005,-0.011983379,-0.00539167,-0.002771718,-0.005135072,0,-0.004327409,-0.009012135,-0.014388656,-0.012345575,-0.003812477,0.000635449,-0.002337494,0.016581067,-0.006659406,-0.008547114,-0.008353364
